User_ID,Age,Gender,Occupation,Game_Type,Daily_Gaming_Hours,Weekly_Gaming_Hours,Primary_Gaming_Time,Sleep_Hours,Stress_Level,Focus_Level,Academic_or_Work_Score,Productivity_Level,Performance_Impact
U0001,21.0,Male,Working Professional,Action,4.0,28.0,Morning,4.6,6.0,4.0,69.0,66.0,Negative
U0002,35.0,Female,Student,Sports,1.0,7.0,Night,5.4,2.0,7.0,,72.0,Neutral
,26.0,Male,Student,Puzzle,2.0,14.0,,8.0,4.0,8.0,82.0,82.0,
U0004,32.0,Male,Working Professional,Action,1.0,7.0,Night,4.9,7.0,7.0,71.0,66.0,Neutral
U0005,19.0,Male,Working Professional,Action,2.1,14.7,Morning,7.0,7.0,7.0,,63.0,
U0006,29.0,Female,Student,Casual,5.3,37.1,Evening,6.0,9.0,8.0,78.0,75.0,Neutral
U0007,35.0,Male,Student,Sports,4.4,30.8,Evening,7.2,3.0,7.0,95.0,92.0,Neutral
U0008,25.0,Male,Working Professional,Sports,2.0,14.0,Evening,8.2,5.0,8.0,75.0,70.0,Positive
U0009,32.0,Male,Working Professional,Strategy,0.9,6.3,Morning,8.2,7.0,4.0,86.0,87.0,Positive
U0010,25.0,Male,Working Professional,Action,4.6,32.2,Morning,6.7,8.0,7.0,80.0,80.0,Neutral
U0011,20.0,Female,Working Professional,Simulation,5.2,36.4,Evening,5.1,4.0,9.0,82.0,86.0,
U0012,35.0,Female,,Action,3.4,23.8,Evening,8.4,2.0,8.0,62.0,67.0,Neutral
U0013,21.0,Female,Student,Strategy,,20.3,Evening,6.3,6.0,7.0,66.0,69.0,Neutral
U0014,18.0,Male,Working Professional,Puzzle,4.7,32.9,Morning,6.7,2.0,7.0,75.0,77.0,
,35.0,Male,Student,Casual,0.8,5.6,Evening,8.0,3.0,3.0,86.0,82.0,Positive
U0016,27.0,Female,Working Professional,Sports,5.7,39.9,Night,5.2,8.0,4.0,89.0,87.0,Negative
U0017,35.0,Male,Student,Action,3.0,21.0,Morning,5.5,3.0,5.0,56.0,60.0,Neutral
U0018,34.0,Male,Working Professional,Casual,4.4,30.8,Evening,4.7,3.0,3.0,76.0,72.0,Negative
U0019,24.0,Male,Student,Casual,1.7,11.9,Evening,5.0,9.0,4.0,85.0,86.0,Neutral
U0020,30.0,Female,Student,Strategy,2.4,16.8,Morning,6.1,2.0,8.0,61.0,56.0,Neutral
U0021,25.0,Male,,Simulation,1.5,10.5,Morning,6.3,8.0,4.0,72.0,74.0,Neutral
U0022,31.0,Female,Working Professional,Strategy,0.8,5.6,Evening,8.5,2.0,3.0,70.0,,Positive
U0023,27.0,Female,Working Professional,Strategy,,38.5,Morning,5.2,2.0,6.0,71.0,73.0,Negative
U0024,19.0,Female,Student,Action,2.1,14.7,Night,8.4,2.0,8.0,75.0,70.0,Neutral
U0025,21.0,Male,Student,Simulation,0.9,6.3,Morning,,3.0,8.0,70.0,71.0,Neutral
U0026,,Male,Working Professional,Sports,2.8,19.6,Morning,6.8,7.0,5.0,68.0,73.0,Neutral
U0027,32.0,Male,Student,Simulation,4.2,29.4,Morning,5.7,7.0,9.0,59.0,54.0,Negative
U0028,27.0,Male,Working Professional,Simulation,3.3,23.1,Night,5.0,7.0,3.0,70.0,70.0,Neutral
U0029,21.0,Male,Working Professional,Action,2.2,15.4,,8.4,2.0,8.0,90.0,89.0,Neutral
